,date,md_plus_code,md_minus_code,season,distance,distance_over_21,distance_over_24,distance_over_27,accel_decel_over_2_5,accel_decel_over_3_5,accel_decel_over_4_5,day_duration,peak_speed,hr_zone_1_hms,hr_zone_2_hms,hr_zone_3_hms,hr_zone_4_hms,hr_zone_5_hms
0,2022-08-02,10,-4,2022/2023,4524.085076,89.27853044,85.69031816,61.6343353,119.1081009,32.63692816,8.557442749,0 days 01:16:14.542158600,30.7559,0 days 00:03:40,0 days 00:17:29,0 days 00:19:20,0 days 00:11:23,0 days 00:00:02
1,2022-08-03,10,-3,2022/2023,5264.645855,245.861691,91.34814267,20.21058834,45.97401948,6.309729836,3.095989752,0 days 01:05:13.069828800,28.67495,0 days 00:06:44,0 days 00:16:40,0 days 00:15:35,0 days 00:06:08,0 days 00:00:01
2,2022-08-04,10,-2,2022/2023,6886.542272,199.1802595,84.63473481,22.58547047,97.48851155,24.40018007,3.82586928,0 days 01:45:08.385540,29.2172,0 days 00:17:29,0 days 00:37:09,0 days 00:23:49,0 days 00:06:30,0 days 00:00:02
3,2022-08-05,10,-1,2022/2023,2622.552016,68.3893209,11.795402,6.360193345,43.75026526,14.64292521,2.189601741,0 days 01:04:35.306031,28.703,0 days 00:07:34,0 days 00:15:51,0 days 00:07:31,0 days 00:01:51,0 days 00:00:00
4,2022-08-06,0,0,2022/2023,5654.028319,447.0905452,164.5766708,82.74642973,122.5681273,49.74844568,22.20173654,0 days 00:46:02.901182400,30.29811976,0 days 00:01:09,0 days 00:01:04,0 days 00:11:34,0 days 00:13:15,0 days 00:02:30
5,2022-08-07,1,-7,2022/2023,7379.419445,230.4563784,76.86554786,36.82659852,127.8810687,41.20852149,13.27639123,0 days 01:56:39.414240,30.8216,0 days 00:15:52,0 days 00:32:25,0 days 00:16:39,0 days 00:05:43,0 days 00:00:04
6,2022-08-08,2,-6,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
7,2022-08-09,3,-5,2022/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
8,2022-08-10,4,-4,2022/2023,6388.152035,461.7284954,209.4731691,76.4638338,120.4362528,49.55272992,16.95432555,0 days 01:34:59.626151400,31.51548,0 days 00:09:10,0 days 00:22:24,0 days 00:23:57,0 days 00:10:30,0 days 00:00:10
9,2022-08-11,5,-3,2022/2023,3727.993084,181.5062074,66.49044126,20.46043373,103.3060547,50.74886844,15.71521045,0 days 01:00:15.359752200,28.85883,0 days 00:05:06,0 days 00:14:19,0 days 00:13:49,0 days 00:10:07,0 days 00:00:09
