,date,md_plus_code,md_minus_code,season,distance,distance_over_21,distance_over_24,distance_over_27,accel_decel_over_2_5,accel_decel_over_3_5,accel_decel_over_4_5,day_duration,peak_speed,hr_zone_1_hms,hr_zone_2_hms,hr_zone_3_hms,hr_zone_4_hms,hr_zone_5_hms,bio_baseline_completeness,bio_baseline_composite,emboss_baseline_score,msk_joint_range_baseline_completeness,msk_joint_range_baseline_composite,msk_load_tolerance_baseline_completeness,msk_load_tolerance_baseline_composite,sleep_baseline_completeness,sleep_baseline_composite,soreness_baseline_completeness,soreness_baseline_composite,subjective_baseline_completeness,subjective_baseline_composite,dynamic__agility__acceleration,dynamic__agility__deceleration,dynamic__jump__land,dynamic__jump__pre-load,dynamic__jump__take off,dynamic__sprint__acceleration,dynamic__sprint__max velocity,dynamic__upper body__pull,dynamic__upper body__push,isometric__agility__acceleration,isometric__agility__deceleration,isometric__agility__rotate,isometric__jump__land,isometric__jump__pre-load,isometric__jump__take off,isometric__sprint__acceleration,isometric__sprint__max velocity,isometric__upper body__grapple,isometric__upper body__pull,isometric__upper body__push
0,2023-08-01,10.0,-10.0,2023/2024,4102.920484,362.4331223,115.7007101,13.92683693,52.37223838,8.710392824,0.362462347,01:03:39,28.59203,0 days 00:10:20,0 days 00:18:45,0 days 00:15:27,0 days 00:02:53,0 days 00:00:00,0.0,0.0,-0.033,0.096774194,0.0,0.1612903225806451,0.0,0.0,0.0,0.0,0.0,0.064516129,-0.055,0.395,0.8525,0.69,0.589,0.7365,0.395,0.67,0.8525,0.395,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-08-02,10.0,-10.0,2023/2024,9699.565896,672.2839323,241.5094923,95.45482744,168.4261632,56.71637636,18.79418702,03:32:46,31.1597,0 days 00:15:18,0 days 01:04:26,0 days 00:28:15,0 days 00:29:24,0 days 00:00:15,0.0,0.0,-0.225714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075268817,-0.225714286,0.395,0.8525,0.69,0.589,0.7365,0.395,0.67,0.8525,0.395,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2023-08-03,10.0,-10.0,2023/2024,7814.366795,343.7448814,117.2122047,35.97364661,145.0953861,37.70078899,7.103684244,02:40:51,29.65626667,0 days 00:19:33,0 days 00:35:09,0 days 00:29:42,0 days 00:13:25,0 days 00:00:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.8525,0.6975,0.589,0.7365,0.39,0.67,0.8525,0.39,0.0,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2023-08-04,10.0,-9.0,2023/2024,4505.063735,347.9921121,74.92641538,39.7590625,16.29317029,0.0,2.138964791,01:12:57,29.3686,0 days 00:15:38,0 days 00:20:25,0 days 00:14:38,0 days 00:03:09,0 days 00:00:03,0.0,0.0,-0.3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0161290322580645,0.0,0.1075268817204301,-0.358,0.39,0.8525,0.6975,0.662,0.7365,0.39,0.67,0.8525,0.39,0.0,0.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2023-08-05,10.0,-8.0,2023/2024,4257.722836,221.2934682,128.3391919,46.43100591,59.15923872,16.6176431,7.349586667,00:57:46,30.2149,0 days 00:04:28,0 days 00:11:17,0 days 00:15:07,0 days 00:07:05,0 days 00:00:06,0.0,0.0,-0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129,-0.166666667,0.39,0.8525,0.6975,0.662,0.7365,0.39,0.67,0.8525,0.39,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2023-08-06,10.0,-7.0,2023/2024,6385.700228,287.4748394,144.4317833,81.15294784,134.0791846,48.26262753,17.77364966,00:53:45,30.420615,0 days 00:02:17,0 days 00:07:20,0 days 00:20:31,0 days 00:20:37,0 days 00:01:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.8525,0.6975,0.662,0.7365,0.39,0.67,0.8525,0.39,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2023-08-07,10.0,-6.0,2023/2024,2949.963068,191.5735231,47.10006095,23.57680638,36.0193039,6.928783631,1.135133921,01:31:03,29.19123333,0 days 00:25:26,0 days 00:29:09,0 days 00:08:50,0 days 00:02:02,0 days 00:00:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.8525,0.6975,0.589,0.7365,0.39,0.67,0.8525,0.39,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2023-08-08,10.0,-5.0,2023/2024,3187.477119,335.7684027,74.49525088,10.36340022,79.93297323,31.00431971,11.78170592,01:18:16,28.25916667,0 days 00:13:07,0 days 00:25:28,0 days 00:15:00,0 days 00:08:07,0 days 00:00:02,0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129,-0.095,0.1075268817204301,0.0209999999999999,0.37,0.8525,0.69,0.589,0.7365,0.37,0.67,0.8525,0.37,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-08-09,10.0,-4.0,2023/2024,4060.754307,208.3188288,101.3919145,17.6305717,98.41189957,31.97772464,3.817604969,00:52:02,28.7655,0 days 00:03:55,0 days 00:08:53,0 days 00:16:34,0 days 00:11:25,0 days 00:00:02,0.0,0.0,-0.043888889,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129,0.0,0.096774194,-0.087777778,0.358,0.8695,0.69,0.6175,0.7335,0.358,0.67,0.8695,0.358,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2023-08-10,10.0,-3.0,2023/2024,5348.260297,288.5754422,87.47791318,33.46577593,124.4679267,41.52845658,13.10035397,01:08:55,30.5686,0 days 00:01:39,0 days 00:06:57,0 days 00:20:29,0 days 00:16:42,0 days 00:00:48,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.032258065,0.0,0.053763441,0.2,0.358,0.8695,0.69,0.6175,0.7335,0.358,0.67,0.8695,0.358,0.0,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
